time,energy,event_type,wattmin,epower
0.00300004,1.14002,s,380,380
10.0024,5715.56,s,380,571.476
35.0018,22395.5,s,380,667.214
100.003,71988.3,e,380,762.952
100.005,71989.6,s,380,571.476
110.002,79616.9,e,380,762.952
115.002,82952.6,e,380,667.214
115.004,82954,s,380,641.103
200.005,147806,e,380,762.952
200.007,147807,s,380,571.476
215.004,157813,e,380,667.214
215.006,157814,s,380,475.738
300.007,214528,e,380,667.214
300.01,214529,s,380,571.476
305.006,218342,e,380,762.952
305.008,218343,s,380,710.731
400.01,281729,e,380,667.214
400.012,281730,s,380,475.738
405.008,285064,e,380,667.214
500.012,339356,e,380,571.476
