job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
1,w0,hg_20,0.000000,2,100.000000,1,COMPLETED_SUCCESSFULLY,0.003000,100.000000,100.003000,0.003000,100.003000,1.000030,0-1,38147.600000,
2,w0,hg_40,10.000000,1,100.000000,1,COMPLETED_SUCCESSFULLY,10.002400,100.000000,110.002400,0.002400,100.002400,1.000024,2,19073.800000,
4,w0,hg_10,35.000000,1,80.000000,0,COMPLETED_WALLTIME_REACHED,35.001800,80.000000,115.001800,0.001800,80.001800,1.000023,3,15259.040000,
3,w0,hg_20,20.000000,2,100.000000,1,COMPLETED_SUCCESSFULLY,100.005200,100.000000,200.005200,80.005200,180.005200,1.800052,0-1,38147.600000,
5,w0,hg_20,50.000000,2,200.000000,1,COMPLETED_SUCCESSFULLY,115.004000,100.000000,215.004000,65.004000,165.004000,1.650040,2-3,38147.600000,
6,w0,hg_40,65.000000,1,100.000000,1,COMPLETED_SUCCESSFULLY,200.007400,100.000000,300.007400,135.007400,235.007400,2.350074,0,19073.800000,
7,w0,hg_10,80.000000,2,90.000000,0,COMPLETED_WALLTIME_REACHED,215.006200,90.000000,305.006200,135.006200,225.006200,2.500069,1-2,34332.840000,
8,w0,hg_20,95.000000,2,110.000000,1,COMPLETED_SUCCESSFULLY,300.009600,100.000000,400.009600,205.009600,305.009600,3.050096,0 3,38147.600000,
9,w0,hg_40,110.000000,1,130.000000,1,COMPLETED_SUCCESSFULLY,305.008400,100.000000,405.008400,195.008400,295.008400,2.950084,1,19073.800000,
10,w0,hg_10,125.000000,2,140.000000,1,COMPLETED_SUCCESSFULLY,400.011800,100.000000,500.011800,275.011800,375.011800,3.750118,0 2,38147.600000,
